"ID","External ID","Name","Type","Step ID","Is Completed"
"4101696153432","2208170-79874946-arrived","Arrived at Stop","arrived","4101696139613","Yes"
"4101696153433","2208170-79874946-pickupRelay","Pickup Relay","pickupRelay","4101696139613","Yes"
"4101696153434","2208170-79874946-departed","Departed from Stop","departed","4101696139613","Yes"
"4101696153435","61534-79874948-arrived","Arrived at Stop","arrived","4101696139614","Yes"
"4101696153436","61534-79874948-dropCustomerLiveUnload","Drop Customer Live Unload","dropCustomerLiveUnload","4101696139614","Yes"
"4101696153437","61534-79874948-departed","Departed from Stop","departed","4101696139614","Yes"
"4101696153438","93257-79874822-arrived","Arrived at Stop","arrived","4101696139615","Yes"
"4101696153439","93257-79874822-dropLoaded","Drop Loaded","dropLoaded","4101696139615","Yes"
"4101696153440","93257-79874822-pickupEmpty","Pickup Empty","pickupEmpty","4101696139615","Yes"
"4101696153441","93257-79874822-paperworkReference","Paperwork","paperworkReference","4101696139615","Yes"
"4101696153442","93257-79874822-departed","Departed from Stop","departed","4101696139615","Yes"
"4101696153443","93257-79874822-expense","Report Expenses","expense","4101696139615","No"
"4101696153444","2208170-79874949-arrived","Arrived at Stop","arrived","4101696139616","Yes"
"4101696153445","2208170-79874949-dropEmpty","Drop Empty","dropEmpty","4101696139616","Yes"
"4101696153446","2208170-79874949-departed","Departed from Stop","departed","4101696139616","Yes"
"4169686521345","2463569-79877959-arrived","Arrived at Stop","arrived","4169686515512","Yes"
"4169686521346","2463569-79877959-pickupLumperLoad","Pickup Lumper Load","pickupLumperLoad","4169686515512","Yes"
"4169686521347","2463569-79877959-departed","Departed from Stop","departed","4169686515512","Yes"
"4169686521348","2168014-79877960-arrived","Arrived at Stop","arrived","4169686515513","Yes"
"4169686521349","2168014-79877960-dropAtRamp","Drop Ramp","dropAtRamp","4169686515513","Yes"
"4169686521350","2168014-79877960-paperworkReference","Paperwork","paperworkReference","4169686515513","Yes"
"4169686521351","2168014-79877960-departed","Departed from Stop","departed","4169686515513","Yes"
"4169686521352","2168014-79877960-expense","Report Expenses","expense","4169686515513","No"
"4222616202737","2168110-79878615-arrived","Arrived at Stop","arrived","4222616191530","Yes"
"4222616202738","2168110-79878615-pickupAtRamp","Pickup Ramp","pickupAtRamp","4222616191530","No"
"4222616202739","2168110-79878615-reportJ1","J1 Report","reportJ1","4222616191530","No"
"4222616202740","2168110-79878615-departed","Departed from Stop","departed","4222616191530","No"
"4222616202741","99598-79878616-arrived","Arrived at Stop","arrived","4222616191531","No"
"4222616202742","99598-79878616-dropEmpty","Drop Empty","dropEmpty","4222616191531","No"
"4222616202743","99598-79878616-dropCustomerLiveUnload","Drop Customer Live Unload","dropCustomerLiveUnload","4222616191531","No"
"4222616202744","99598-79878616-paperworkReference","Paperwork","paperworkReference","4222616191531","No"
"4222616202745","99598-79878616-departed","Departed from Stop","departed","4222616191531","No"
"4222616202746","99598-79878616-expense","Report Expenses","expense","4222616191531","No"
"4241041552713","2463569-79880217-arrived","Arrived at Stop","arrived","4241041548728","Yes"
"4241041552714","2463569-79880217-pickupCustomerLiveLoad","Pickup Customer Live Load","pickupCustomerLiveLoad","4241041548728","Yes"
"4241041552715","2463569-79880217-pickupEmpty","Pickup Empty","pickupEmpty","4241041548728","Yes"
"4241041552716","2463569-79880217-departed","Departed from Stop","departed","4241041548728","Yes"
"4241041552717","2168014-79880218-arrived","Arrived at Stop","arrived","4241041548729","Yes"
"4241041552718","2168014-79880218-dropAtRamp","Drop Ramp","dropAtRamp","4241041548729","Yes"
"4241041552719","2168014-79880218-paperworkReference","Paperwork","paperworkReference","4241041548729","Yes"
"4241041552720","2168014-79880218-departed","Departed from Stop","departed","4241041548729","Yes"
"4241041552721","2168014-79880218-expense","Report Expenses","expense","4241041548729","Yes"
"4321937694834","28264-79881031-arrived","Arrived at Stop","arrived","4321937678109","No"
"4321937694835","28264-79881031-pickupEmpty","Pickup Empty","pickupEmpty","4321937678109","No"
"4321937694836","28264-79881031-etaUpdateToNextStop","ETA Update to Next Stop","etaUpdateToNextStop","4321937678109","No"
"4321937694837","28264-79881031-departed","Departed from Stop","departed","4321937678109","No"
"4321937694838","2004940-79881011-arrived","Arrived at Stop","arrived","4321937678110","No"
"4321937694839","2004940-79881011-pickupCustomerLiveLoad","Pickup Customer Live Load","pickupCustomerLiveLoad","4321937678110","No"
"4321937694840","2004940-79881011-departed","Departed from Stop","departed","4321937678110","No"
"4321937694841","2153294-79881012-arrived","Arrived at Stop","arrived","4321937678111","No"
"4321937694842","2153294-79881012-dropAtRamp","Drop Ramp","dropAtRamp","4321937678111","No"
"4321937694843","2153294-79881012-paperworkReference","Paperwork","paperworkReference","4321937678111","No"
"4321937694844","2153294-79881012-departed","Departed from Stop","departed","4321937678111","No"
"4321937694845","2153294-79881012-expense","Report Expenses","expense","4321937678111","No"
"4326170894829","48201-79881017-arrived","Arrived at Stop","arrived","4326170890808","No"
"4326170894830","48201-79881017-pickupCustomerLiveLoad","Pickup Customer Live Load","pickupCustomerLiveLoad","4326170890808","No"
"4326170894831","48201-79881017-pickupEmpty","Pickup Empty","pickupEmpty","4326170890808","No"
"4326170894832","48201-79881017-departed","Departed from Stop","departed","4326170890808","No"
"4326170894833","2273911-79881018-arrived","Arrived at Stop","arrived","4326170890809","No"
"4326170894834","2273911-79881018-dropAtRamp","Drop Ramp","dropAtRamp","4326170890809","No"
"4326170894835","2273911-79881018-paperworkReference","Paperwork","paperworkReference","4326170890809","No"
"4326170894836","2273911-79881018-departed","Departed from Stop","departed","4326170890809","No"
"4326170894837","2273911-79881018-expense","Report Expenses","expense","4326170890809","No"
"4326170894850","28264-79883197-arrived","Arrived at Stop","arrived","4326170890813","Yes"
"4326170894851","28264-79883197-pickupEmpty","Pickup Empty","pickupEmpty","4326170890813","Yes"
"4326170894852","28264-79883197-etaUpdateToNextStop","ETA Update to Next Stop","etaUpdateToNextStop","4326170890813","No"
"4326170894853","28264-79883197-departed","Departed from Stop","departed","4326170890813","Yes"
"4326170894854","2004940-79881032-arrived","Arrived at Stop","arrived","4326170890814","Yes"
"4326170894855","2004940-79881032-pickupCustomerLiveLoad","Pickup Customer Live Load","pickupCustomerLiveLoad","4326170890814","Yes"
"4326170894856","2004940-79881032-departed","Departed from Stop","departed","4326170890814","Yes"
"4326170894857","2153294-79881033-arrived","Arrived at Stop","arrived","4326170890815","Yes"
"4326170894858","2153294-79881033-dropAtRamp","Drop Ramp","dropAtRamp","4326170890815","Yes"
"4326170894859","2153294-79881033-paperworkReference","Paperwork","paperworkReference","4326170890815","Yes"
"4326170894860","2153294-79881033-departed","Departed from Stop","departed","4326170890815","Yes"
"4326170894861","2153294-79881033-expense","Report Expenses","expense","4326170890815","Yes"
"4326170894882","2153294-79881038-arrived","Arrived at Stop","arrived","4326170890820","Yes"
"4326170894883","2153294-79881038-pickupAtRamp","Pickup Ramp","pickupAtRamp","4326170890820","No"
"4326170894884","2153294-79881038-reportJ1","J1 Report","reportJ1","4326170890820","No"
"4326170894885","2153294-79881038-departed","Departed from Stop","departed","4326170890820","No"
"4326170894886","2004940-79881039-arrived","Arrived at Stop","arrived","4326170890821","No"
"4326170894887","2004940-79881039-dropLoaded","Drop Loaded","dropLoaded","4326170890821","No"
"4326170894888","2004940-79881039-pickupEmpty","Pickup Empty","pickupEmpty","4326170890821","No"
"4326170894889","2004940-79881039-paperworkReference","Paperwork","paperworkReference","4326170890821","No"
"4326170894890","2004940-79881039-departed","Departed from Stop","departed","4326170890821","No"
"4326170894891","2004940-79881039-expense","Report Expenses","expense","4326170890821","No"
"4344949455802","46798-79883232-arrived","Arrived at Stop","arrived","4344949452002","No"
"4344949455803","46798-79883232-pickupLoadedTrailingUnit","Pickup Loaded Trailing Unit","pickupLoadedTrailingUnit","4344949452002","No"
"4344949455804","46798-79883232-dropEmpty","Drop Empty","dropEmpty","4344949452002","No"
"4344949455805","46798-79883232-etaToStop","ETA to Stop","etaToStop","4344949452002","No"
"4344949455806","46798-79883232-natNalUpdate","Update NAT/NAL","natNalUpdate","4344949452002","No"
"4344949455807","46798-79883232-departed","Departed from Stop","departed","4344949452002","No"
"4344949455808","2437360-79883233-arrived","Arrived at Stop","arrived","4344949452003","No"
"4344949455809","2437360-79883233-dropLoaded","Drop Loaded","dropLoaded","4344949452003","No"
"4344949455810","2437360-79883233-pickupEmpty","Pickup Empty","pickupEmpty","4344949452003","No"
"4344949455811","2437360-79883233-paperworkReference","Paperwork","paperworkReference","4344949452003","No"
"4344949455812","2437360-79883233-departed","Departed from Stop","departed","4344949452003","No"
"4344949455813","2437360-79883233-expense","Report Expenses","expense","4344949452003","No"
"4345047484249","46798-79883252-arrived","Arrived at Stop","arrived","4345047466210","No"
"4345047484250","46798-79883252-pickupLoadedTrailingUnit","Pickup Loaded Trailing Unit","pickupLoadedTrailingUnit","4345047466210","No"
"4345047484251","46798-79883252-dropEmpty","Drop Empty","dropEmpty","4345047466210","No"
"4345047484252","46798-79883252-etaToStop","ETA to Stop","etaToStop","4345047466210","No"
"4345047484253","46798-79883252-natNalUpdate","Update NAT/NAL","natNalUpdate","4345047466210","No"
"4345047484254","46798-79883252-departed","Departed from Stop","departed","4345047466210","No"
"4345047484255","2437360-79883253-arrived","Arrived at Stop","arrived","4345047466211","No"
"4345047484256","2437360-79883253-dropLoaded","Drop Loaded","dropLoaded","4345047466211","No"
"4345047484257","2437360-79883253-pickupEmpty","Pickup Empty","pickupEmpty","4345047466211","No"
"4345047484258","2437360-79883253-paperworkReference","Paperwork","paperworkReference","4345047466211","No"
"4345047484259","2437360-79883253-departed","Departed from Stop","departed","4345047466211","No"
"4345047484260","2437360-79883253-expense","Report Expenses","expense","4345047466211","No"
